,index,Col1,Col2,Col3,Col4,Col5,mc1,mc2,mc3,mc4,mc5,m11,m12,m13,m14,m15
21,21,-0.038696210831403725,-0.0303519070148468,-0.01776849292218685,0.0006361139821819961,2.205791282960945e-08,-0.03468462359160185,-0.026782781817018982,-0.014738284051418304,0.0030452626233454794,2.096002216234183e-08,-0.030673036351799965,-0.023213656619191166,-0.011708075180649756,0.005454411264508963,2.205791282960945e-08
22,22,-0.039462540298700326,-0.03125010058283806,-0.01901915483176708,-0.0005274938303045928,-7.861665096697834e-08,-0.03907937556505203,-0.03080100379884243,-0.018393823876976967,5.431007593870163e-05,-2.8279369068684446e-08,-0.038696210831403725,-0.0303519070148468,-0.01776849292218685,0.0006361139821819961,2.205791282960945e-08
23,23,-0.04043591395020485,-0.032345019280910485,-0.020552378147840496,-0.003255027811974287,-6.433675991956989e-08,-0.03994922712445259,-0.031797559931874275,-0.019785766489803788,-0.00189126082113944,-7.147670544327411e-08,-0.039462540298700326,-0.03125010058283806,-0.01901915483176708,-0.0005274938303045928,-6.433675991956989e-08
24,24,-0.04291893914341927,-0.03432390466332436,-0.022369524464011192,-0.0045645725913345805,-1.273281782232516e-07,-0.041677426546812064,-0.033334461972117424,-0.021460951305925846,-0.003909800201654434,-9.583246907141074e-08,-0.04043591395020485,-0.032345019280910485,-0.020552378147840496,-0.003255027811974287,-6.433675991956989e-08
25,25,-0.051746804267168045,-0.042443335056304925,-0.02939591370522976,-0.008333966135978697,-1.5532789632288768e-07,-0.04733287170529366,-0.038383619859814644,-0.025882719084620476,-0.006449269363656638,-1.4132803727306964e-07,-0.04291893914341927,-0.03432390466332436,-0.022369524464011192,-0.0045645725913345805,-1.273281782232516e-07
26,26,-0.04480234533548355,-0.03531628102064133,-0.023484637960791588,-0.005871508736163378,-2.0614973550436846e-07,-0.0482745748013258,-0.03887980803847313,-0.026440275833010674,-0.0071027374360710365,-1.8073881591362806e-07,-0.04480234533548355,-0.03531628102064133,-0.023484637960791588,-0.005871508736163378,-1.5532789632288768e-07
27,27,-0.056190017610788345,-0.046531639993190765,-0.03388949856162071,-0.013331664726138113,-1.9484124891278043e-07,-0.05049618147313595,-0.040923960506916046,-0.02868706826120615,-0.009601586731150746,-2.0049549220857443e-07,-0.04480234533548355,-0.03531628102064133,-0.023484637960791588,-0.005871508736163378,-1.9484124891278043e-07
28,28,-0.05332288518548012,-0.04411252215504646,-0.031810540705919266,-0.012105679139494896,-1.6282729120575823e-07,-0.05475645139813423,-0.045322081074118614,-0.03285001963376999,-0.012718671932816505,-1.7883427005926933e-07,-0.05332288518548012,-0.04411252215504646,-0.031810540705919266,-0.012105679139494896,-1.6282729120575823e-07
29,29,-0.05764775723218918,-0.048452805727720254,-0.035582687705755234,-0.01384197361767292,-1.219867016288845e-07,-0.05548532120883465,-0.04628266394138336,-0.03369661420583725,-0.012973826378583908,-1.4240699641732135e-07,-0.05332288518548012,-0.04411252215504646,-0.031810540705919266,-0.012105679139494896,-1.219867016288845e-07
30,30,-0.05369799956679344,-0.04456924274563789,-0.03181656822562218,-0.013458882458508015,7.763879494859793e-08,-0.05567287839949131,-0.04651102423667907,-0.033699627965688705,-0.013650428038090467,-2.2173953340143284e-08,-0.05369799956679344,-0.04456924274563789,-0.03181656822562218,-0.013458882458508015,7.763879494859793e-08
31,31,-0.05009723082184792,-0.04124157130718231,-0.028312506154179573,-0.007549470756202936,-6.675313812820605e-08,-0.051897615194320686,-0.0429054070264101,-0.030064537189900875,-0.010504176607355475,5.4428284101959434e-09,-0.05009723082184792,-0.04124157130718231,-0.028312506154179573,-0.007549470756202936,7.763879494859793e-08
32,32,-0.03895991668105125,-0.02997963316738605,-0.016679182648658752,0.0025028346572071314,2.1312759557190475e-08,-0.044528573751449585,-0.035610602237284184,-0.022495844401419163,-0.0025233180494979024,-2.2720189285507786e-08,-0.03895991668105125,-0.02997963316738605,-0.016679182648658752,0.0025028346572071314,2.1312759557190475e-08
