C1,C2,C3,C4,C5,Output
0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,
0.1233503594994545,0.10812658071517944,0.08811917155981064,0.05500390753149986,4.779858500114642e-07,
0.03516747057437897,0.0271244328469038,0.01716914400458336,0.006229288410395384,-3.967765564993897e-07,
0.10880531370639801,0.09811802208423615,0.07872272282838821,0.04505632072687149,-4.578720904646616e-07,
0.10023969411849976,0.08953912556171417,0.07068399339914322,0.03986508026719093,-3.9223149883582664e-07,
0.08038947731256485,0.07211814820766449,0.061589132994413376,0.04214344918727875,7.724531769781606e-08,
0.053614139556884766,0.04591664671897888,0.03330709785223007,0.016543377190828323,-4.4695480028167367e-07,
0.0353049710392952,0.02792617678642273,0.017708614468574524,0.008132392540574074,-4.7444422079934156e-07,
0.059132106602191925,0.050268322229385376,0.03675498813390732,0.019494948908686638,-4.6434789169325086e-07,
0.07880861312150955,0.06480613350868225,0.04166291281580925,0.014830827713012695,-4.6252378638200753e-07,
0.0183804240077734,0.012613673694431782,0.005829288624227047,0.0025507875252515078,-4.363841981103178e-07,
0.05073527246713638,0.0388658381998539,0.021449269726872444,0.005892528221011162,-4.4120221787125047e-07,
0.03095264546573162,0.02113276533782482,0.007601778022944927,-0.002016677288338542,-4.4391342157723557e-07,
0.02048594132065773,0.00971259269863367,-0.004182261414825916,-0.010899464599788189,-4.6172351630957564e-07,
0.03602927178144455,0.0267789363861084,0.013413235545158386,0.002126856939867139,-4.700029023751995e-07,
-0.008779162541031837,-0.013909820467233658,-0.019855456426739693,-0.016919754445552826,-4.392400114738848e-07,
0.02247578464448452,0.014906737953424454,0.004651164170354605,-0.00047290613292716444,-4.842356133849535e-07,
-0.00042920917621813715,0.0015869444468989968,0.007792117074131966,0.01618916541337967,-4.739222845273616e-07,
-0.02870173752307892,-0.021714970469474792,-0.00493242172524333,0.021164318546652794,-4.973294380761217e-07,
-0.027103126049041748,-0.0205521360039711,-0.004086092114448547,0.02270362339913845,-5.37628807251167e-07,
-0.03674407675862312,-0.030701173469424248,-0.013034334406256676,0.019582632929086685,-5.714441044801788e-07,
-0.018302520737051964,-0.009258703328669071,0.005938297137618065,0.023943724110722542,-2.1688447304768488e-07,
-0.027876675128936768,-0.018369941040873528,-0.0062279473058879375,0.01124631054699421,-7.09939085297151e-09,
-0.027887502685189247,-0.018762540072202682,-0.006181801203638315,0.01236697193235159,-1.9136786377771386e-08,
-0.05793759226799011,-0.047993529587984085,-0.03213309869170189,-0.004803480114787817,9.691394353694704e-09,
-0.05979408323764801,-0.04813710227608681,-0.02956727147102356,-0.0009172586142085493,6.587248435607762e-08,
-0.05797816067934036,-0.04745185747742653,-0.030458955094218254,-0.0021462549921125174,4.629593775007379e-08,
-0.07293316721916199,-0.06064203754067421,-0.0406099408864975,-0.00841705221682787,1.1637872177061581e-07,
-0.06734133511781693,-0.05516553297638893,-0.035333484411239624,-0.004717984236776829,1.60958322226179e-07,
-0.07457485795021057,-0.06269384175539017,-0.0426911823451519,-0.009321179240942001,1.4975053375110292e-07,
